id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
1139,2,1,0.5161,1,9,26.0,1,1,1,27,4,2,2,394221
1140,5,4,0.745,1,5,32.0,1,1,0,10,1,1,1,211762
1141,1,1,0.6577,1,12,27.0,2,1,0,16,1,1,1,539276
1142,1,1,0.5526,1,7,17.0,1,1,0,12,1,1,1,630463
1143,1,1,0.46130000000000004,1,11,5.0,1,1,1,15,2,2,2,357167
1144,1,4,0.5997,1,4,27.0,1,1,1,8,2,2,2,445283
1145,1,1,0.7784,1,9,30.0,2,1,0,16,1,1,1,415438
1146,1,1,0.43689999999999996,1,4,8.0,1,1,1,15,3,2,1,496387
1147,1,1,0.5478000000000001,1,6,18.0,1,1,0,12,3,2,2,416030
1148,1,1,0.40009999999999996,1,19,6.0,1,1,1,23,2,1,1,326717
1150,1,2,0.9307,0,2,43.0,5,1,0,5,3,2,2,420155
1151,5,4,0.4578,1,7,28.0,1,1,1,8,2,1,1,196304
1152,1,1,0.41159999999999997,1,14,17.0,4,1,1,14,1,2,1,292383
1153,1,2,0.8378,0,4,44.0,1,1,0,5,3,2,1,359412
1154,1,1,0.5326,1,9,25.0,1,1,1,13,4,2,2,416284
1155,5,2,0.6252,0,3,25.0,1,1,1,5,3,2,2,283736
1156,1,2,0.7545000000000001,0,5,37.0,1,1,0,5,3,2,2,364949
1158,1,1,0.5261,1,18,27.0,3,1,1,18,2,2,2,322202
1159,1,1,0.6526000000000001,1,15,27.0,2,1,0,16,3,2,2,494899
1160,1,4,0.7353000000000001,1,1,30.0,1,1,0,7,2,1,1,364949
1161,1,1,0.8576,1,4,28.0,2,1,1,24,4,2,2,248731
1162,1,1,0.5109,1,2,9.0,1,1,1,18,3,2,2,491339
1163,2,1,0.6456000000000001,1,2,28.0,1,1,0,26,2,2,1,597408
1164,1,1,0.823,1,24,29.0,1,1,0,24,2,1,1,505610
1166,1,1,0.4972,1,8,15.0,1,1,1,11,2,2,2,492063
1168,1,4,0.6081,1,1,13.0,1,1,0,10,4,2,2,437441
1169,5,1,0.6816,1,5,25.0,8,1,1,25,2,2,1,361144
1170,1,4,0.7636,1,3,31.0,1,1,0,7,2,1,1,343369
1171,1,1,0.4511,1,3,8.0,1,1,1,22,2,2,2,621488
1172,1,1,0.6536,1,6,27.0,1,1,0,11,4,2,2,588463
1173,1,1,0.6835,1,13,25.0,1,1,0,32,3,2,2,280109
1174,1,1,0.6214999999999999,1,3,28.0,2,1,0,24,2,2,2,574582
1175,1,2,0.9135,0,5,35.0,2,1,0,5,3,2,2,315484
1176,5,2,1.0,0,3,51.0,1,1,0,4,3,2,1,322631
1177,1,1,0.5224,1,5,6.0,1,1,1,11,3,1,2,505874
1178,1,2,0.8339,0,3,34.0,1,1,0,5,3,1,2,88284
1179,1,1,0.8427,1,19,28.0,2,1,0,23,3,2,2,377775
1180,1,1,0.5225,1,9,17.0,1,1,1,13,4,2,2,81838
1181,2,2,0.8694,0,4,44.0,1,1,0,4,3,2,1,445223
1182,1,4,0.5652,1,1,25.0,1,1,1,8,3,2,2,417716
1183,1,1,0.4671,1,6,6.0,1,1,0,13,2,1,1,629901
1184,1,1,0.436,1,8,8.0,1,1,1,15,3,2,2,512959
1186,1,1,0.4913,1,14,28.0,2,1,1,18,3,2,2,341279
1187,1,2,0.596,0,1,25.0,1,1,1,5,3,2,2,623438
1193,1,1,0.36840000000000006,1,12,8.0,1,1,1,15,1,1,1,496863
1194,2,1,0.6614,1,16,26.0,2,1,0,23,3,2,2,424932
1195,5,4,0.8214,1,1,29.0,1,1,0,8,4,2,1,229775
1196,5,1,0.6453,1,21,25.0,8,1,0,25,1,1,1,309841
1197,1,1,0.6459,1,13,30.0,1,1,0,16,1,1,1,430307
1198,1,1,0.725,1,9,26.0,1,1,0,12,2,1,1,603845
1199,1,2,0.8684000000000001,0,2,44.0,1,1,0,4,3,2,1,217484
1200,1,1,0.6861,1,23,25.0,1,1,0,33,1,1,1,330658
1201,1,2,0.8852,0,1,43.0,4,1,0,4,4,1,1,470155
1202,1,1,0.7041,1,7,31.0,1,1,0,12,3,2,2,219848
1204,1,4,0.7098,1,4,29.0,2,1,0,8,3,2,1,480625
