AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,parkmain,pimg,pu,punit,r,reid,s,sq,t,town,tp,tunit,type,unit,v
住,,汐止區工建路００５６號４樓之２#汐止區工建路５６號４樓之２,華廈(10層含以下有電梯),愛快台北一期,60.93%,F,GlvDSOf7WJdEoo05F4NW+xvQss5zmvokDklTVTp7Ke8=,,114/03/25,有,,四層/八層,,26,21,1,1,0,25.06326411662109,121.64080932297561,有,,總價/總面積,,"602,575",N,bt_06.png,住家用,1,40,,19.08,GlvDSOf7WJdEoo05F4NW+xvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,500,000",1,Biz,2,2房1廳1衛
住,,汐止區新台五路二段２３８巷００５１號五樓#汐止區新台五路二段２３８巷５１號五樓,住宅大樓(11層含以上有電梯),星野之森-D區,59.35%,F,ePkXfUxIIkCsNWbeDASanxvQss5zmvokDklTVTp7Ke8=,,114/03/05,有,,五層/十一層,,1,22,2,1,0,25.064360241124405,121.67262142966294,有,,總價/總面積,,"492,942",N,bt_05.png,住家用,1,79,,25.97,ePkXfUxIIkCsNWbeDASanxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,800,000",1,Biz,2,2房2廳1衛
住,,汐止區中興路０１７３之１號十一樓#汐止區中興路１７３之１號十一樓,住宅大樓(11層含以上有電梯),隱馥玉,42.06%,F,5sp+/L0/M6ESWJdkaXlN3BvQss5zmvokDklTVTp7Ke8=,230,114/03/04,有,58.84%,十一層/十五層,,9,23,1,1,1,25.066323465368363,121.63052686819564,有,,(總價-車位總價)/(總面積-車位總面積),,"612,988",N,bt_05.png,住家用,1,58,,28.87,5sp+/L0/M6ESWJdkaXlN3BvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"14,950,000",1,Biz,2,1房1廳1衛
,丙種建築用地,汐止區伯爵街０５４巷０００６號１１樓之１#汐止區伯爵街５４巷６號１１樓之１,住宅大樓(11層含以上有電梯),牡丹,39.89%,F,L7j3VpBtxGa1GxbUABD7URvQss5zmvokDklTVTp7Ke8=,100,114/03/16,有,,十一層/十二層,,28,24,1,1,1,25.080526309323382,121.63852996430106,有,,總價/總面積,陽台外推;,"234,301",N,bt_05.png,住家用,1,83,,30.52,L7j3VpBtxGa1GxbUABD7URvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"7,150,000",1,Biz,2,1房1廳1衛
其他,,汐止區福德一路０２２１號五樓#汐止區福德一路２２１號五樓,華廈(10層含以下有電梯),生活大國,86.77%,F,FF8UsaUme5M/roDFw1vv2RvQss5zmvokDklTVTp7Ke8=,,114/03/20,有,,五層/七層,,32,25,6,1,0,25.06512312501185,121.63467373316057,有,,總價/總面積,,"531,683",N,bt_06.png,住家用,1,21,,23.51,FF8UsaUme5M/roDFw1vv2RvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,500,000",1,Biz,2,3房1廳2衛
住,,汐止區福德一路０１１８號九樓之６#汐止區福德一路１１８號九樓之６,住宅大樓(11層含以上有電梯),捷運喜來登一期,65.34%,F,3u48WLLPPzyi99DNT7GxpxvQss5zmvokDklTVTp7Ke8=,,114/03/18,有,,九層/十二層,,18,26,1,1,0,25.067865383179452,121.6373046138541,有,,總價/總面積,,"648,192",N,bt_05.png,住家用,1,44,,14.35,3u48WLLPPzyi99DNT7GxpxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,300,000",1,Biz,2,1房1衛
住,,汐止區新台五路二段０１７４號２１樓#汐止區新台五路二段１７４號２１樓,住宅大樓(11層含以上有電梯),,64.43%,F,,,114/03/05,有,,二十一層/三十六層,,28,27,2,1,0,25.06666423550566,121.6682034396046,有,,總價/總面積,陽台外推;,"375,699",N,bt_05.png,住家用,1,63,,28.21,6t1Jg0dwqbdWPJ67dxsi8BvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,600,000",1,Biz,2,3房2廳2衛
商,,汐止區茄苳路２８２巷００２弄００３６號#汐止區茄苳路２８２巷２弄３６號,公寓(5樓含以下無電梯),,94.15%,F,,,114/03/22,無,,一層/五層,,33,28,1,1,0,25.06823768836392,121.67163158842277,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"310,304",N,bt_01.png,住家用,1,9,,9.67,90wAw9teWqGuLJdQX1pSaxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,000,000",1,Biz,2,4房2廳1衛
住,,汐止區新台五路二段０１７８號１９樓#汐止區新台五路二段１７８號１９樓,住宅大樓(11層含以上有電梯),江山萬里,66.20%,F,Ja7QlQioWx5xrtM4OjOKohvQss5zmvokDklTVTp7Ke8=,,114/03/11,有,,十九層/三十六層,,28,29,2,1,0,25.06666423550566,121.6682034396046,有,,總價/總面積,陽台外推;其他增建;,"361,547",N,bt_05.png,住家用,1,63,,27.38,Ja7QlQioWx5xrtM4OjOKohvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,900,000",1,Biz,2,3房2廳2衛
住,,汐止區建成路１６０巷００２４號１２樓#汐止區建成路１６０巷２４號１２樓,住宅大樓(11層含以上有電梯),非常台北,31.68%,F,I2mhDGqSJs6whdhaREuCjhvQss5zmvokDklTVTp7Ke8=,180,114/03/04,有,63.32%,十二層/十四層,,28,30,1,1,1,25.074193388737672,121.66218781380948,有,,(總價-車位總價)/(總面積-車位總面積),陽台外推;其他增建;,"543,074",N,bt_05.png,住家用,1,62,,21.53,I2mhDGqSJs6whdhaREuCjhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"7,650,000",1,Biz,2,1房1廳1衛
住,,汐止區福德一路００７５號六樓#汐止區福德一路７５號六樓,住宅大樓(11層含以上有電梯),生活大國,69.67%,F,0Ybjq3ErQiyM3QkSKAEfkhvQss5zmvokDklTVTp7Ke8=,,114/03/06,有,,六層/十六層,,28,31,2,1,0,25.069023496218016,121.63881723425115,有,,總價/總面積,陽台外推;,"525,220",N,bt_05.png,住家用,1,96,,19.42,0Ybjq3ErQiyM3QkSKAEfkhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,200,000",1,Biz,2,2房2廳1衛
住,,汐止區保長路００６６號十四樓#汐止區保長路６６號十四樓,住宅大樓(11層含以上有電梯),森泉灣,60.71%,F,cKnHJrjlFIfilmdTWTMxDRvQss5zmvokDklTVTp7Ke8=,,114/03/02,有,,十四層/十五層,,15,32,2,1,0,25.078362631847334,121.67458133476275,有,,總價/總面積,其他增建;,"380,364",N,bt_05.png,住家用,1,71,,38.38,cKnHJrjlFIfilmdTWTMxDRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"14,600,000",1,Biz,2,3房2廳2衛
住,,汐止區水源路二段０３６巷００２７號１１樓#汐止區水源路二段３６巷２７號１１樓,住宅大樓(11層含以上有電梯),山青水秀山城之戀E棟,77.84%,F,0daTRSz+A4geThhqifcDyxvQss5zmvokDklTVTp7Ke8=,,114/03/18,有,,十一層/十六層,,30,33,2,1,0,25.055989075611024,121.65495407493363,有,,總價/總面積,,"458,205",N,bt_05.png,住家用,1,50,,16.37,0daTRSz+A4geThhqifcDyxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,500,000",1,Biz,2,1房1廳1衛
住,,汐止區樟樹一路００１巷００１３號２樓#汐止區樟樹一路１巷１３號２樓,住宅大樓(11層含以上有電梯),英郡A區,73.38%,F,YRMe+Tlv3EkxXsR0S51HhxvQss5zmvokDklTVTp7Ke8=,,114/03/13,有,,二層/十二層,,27,34,1,1,0,25.062123533099637,121.64151701554646,有,,總價/總面積,,"555,636",N,bt_05.png,住家用,1,88,,20.70,YRMe+Tlv3EkxXsR0S51HhxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,500,000",1,Biz,2,2房2廳1衛
其他,,汐止區民族五街０００８號６樓之２#汐止區民族五街８號６樓之２,住宅大樓(11層含以上有電梯),麗湖山莊,63.94%,F,uq+0s4IfT6BpEM8Heg5WXBvQss5zmvokDklTVTp7Ke8=,,114/02/19,有,,六層/十七層,,26,35,2,1,0,25.07167210058506,121.62956302723755,有,,總價/總面積,,"383,650",N,bt_05.png,住家用,1,87,,46.92,uq+0s4IfT6BpEM8Heg5WXBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"18,000,000",1,Biz,2,4房2廳2衛
,乙種建築用地,汐止區鄉友街００５２號４樓#汐止區鄉友街５２號４樓,公寓(5樓含以下無電梯),,92.50%,F,,,114/02/11,無,,四層/四層,,43,36,1,1,0,25.08165443616108,121.66934548572917,無,,總價/總面積,頂樓加蓋;,"202,119",N,bt_01.png,住家用,1,10,,25.73,wT4Lh4W4bfzm8Aok2RDCXhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"5,200,000",1,Biz,2,4房2廳2衛
住,,汐止區莊敬街１３１巷０００２號３樓#汐止區莊敬街１３１巷２號３樓,公寓(5樓含以下無電梯),,86.18%,F,,,114/02/05,無,,三層/五層,,44,37,1,1,0,25.060613017037184,121.65458220053594,無,,總價/總面積,陽台外推;其他增建;,"365,729",N,bt_01.png,住家用,1,10,,24.61,PbPu8BdZgsxp0bXE/AmZwhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,000,000",1,Biz,2,2房2廳2衛
其他,,汐止區南興路００６６號五樓之５#汐止區南興路６６號五樓之５,住宅大樓(11層含以上有電梯),早安清境,57.24%,F,pLvqR7OUcNFcmaH/phQaqBvQss5zmvokDklTVTp7Ke8=,,114/02/04,有,,五層/十一層,,12,38,3,1,0,25.059441944682682,121.65194950192273,有,,總價/總面積,,"599,921",N,bt_05.png,住家用,1,82,,30.54,pLvqR7OUcNFcmaH/phQaqBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"18,320,000",1,Biz,2,2房2廳1衛
住,,汐止區０１９２之２號五樓#汐止區汐萬路一段１９２之２號五樓,華廈(10層含以下有電梯),捷運年代,39.93%,F,I+DGz5LYYACIvLW1pooXKRvQss5zmvokDklTVTp7Ke8=,200,114/02/04,有,48.10%,五層/九層,,14,39,1,1,1,25.072286543069378,121.65243380537056,有,,(總價-車位總價)/(總面積-車位總面積),陽台外推;,"484,003",N,bt_06.png,住家用,1,41,,25.63,I+DGz5LYYACIvLW1pooXKRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"12,300,000",1,Biz,2,2房1廳1衛
住,,汐止區民族二街０３２巷００１２號４樓#汐止區民族二街３２巷１２號４樓,華廈(10層含以下有電梯),,69.53%,F,,,114/02/23,有,,四層/七層,,29,40,1,1,0,25.071262893109203,121.63449721664018,有,,總價/總面積,,"460,377",N,bt_06.png,住家用,1,37,,24.65,Jvoramzok2JktLxSs6LighvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,350,000",1,Biz,2,2房2廳1衛
住,,汐止區大同路三段０６１１號２７樓之５#汐止區大同路三段６１１號２７樓之５,住宅大樓(11層含以上有電梯),摩天鎮,67.87%,F,gJrEALaPdd2CgO8oV+Y+9xvQss5zmvokDklTVTp7Ke8=,,114/02/14,有,,二十七層/三十二層,,26,41,1,1,0,25.075148285704238,121.68257299434447,有,,總價/總面積,,"275,689",N,bt_05.png,住家用,1,115,,28.29,gJrEALaPdd2CgO8oV+Y+9xvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,800,000",1,Biz,2,3房2廳1衛
住,,汐止區新台五路二段０１９８號３０樓#汐止區新台五路二段１９８號３０樓,住宅大樓(11層含以上有電梯),江山萬里,60.07%,F,DIlD8W/n52YNUaseE8wG5hvQss5zmvokDklTVTp7Ke8=,,114/02/17,有,,三十層/三十六層,,28,42,2,1,0,25.06666423550566,121.6682034396046,有,,總價/總面積,,"363,580",N,bt_05.png,住家用,1,63,,17.88,DIlD8W/n52YNUaseE8wG5hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"6,500,000",1,Biz,2,2房2廳1衛
