AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,parkmain,pimg,pu,punit,r,reid,s,sq,t,town,tp,tunit,type,unit,v
住,,汐止區工建路０１４１號八樓#汐止區工建路１４１號八樓,住宅大樓(11層含以上有電梯),御璟,43.29%,F,Jno77AxpZ0WKAFoPK1vuzRvQss5zmvokDklTVTp7Ke8=,,113/07/28,有,61.47%,八層/十五層,,10,1091,1,1,1,25.063095456952578,121.63804312454445,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"312,896",N,bt_05.png,住家用,1,55,,41.23,Jno77AxpZ0WKAFoPK1vuzRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"12,900,000",1,Biz,2,2房1廳1衛
其他,,汐止區康寧街７５１巷００２３號１２樓之２#汐止區康寧街７５１巷２３號１２樓之２,住宅大樓(11層含以上有電梯),日月光,85.79%,F,++H02uUjGd72GGm+Ka4tIhvQss5zmvokDklTVTp7Ke8=,140,113/07/20,有,,十二層/二十四層,,28,1092,2,1,1,25.07490595890003,121.63758886411597,有,,總價/總面積,陽台外推;,"282,744",N,bt_05.png,住家用,1,161,,69.32,++H02uUjGd72GGm+Ka4tIhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,600,000",1,Biz,2,4房2廳2衛
住,,汐止區福德二路１５６巷０００３號３樓#汐止區福德二路１５６巷３號３樓,華廈(10層含以下有電梯),東方黎明,72.21%,F,9D/VF1CZ4lF6i7EZFp1qqhvQss5zmvokDklTVTp7Ke8=,,113/07/10,有,,三層/八層,,30,1093,1,1,0,25.065342178219336,121.62987758216015,有,,總價/總面積,陽台外推;,"459,008",N,bt_06.png,住家用,1,54,,36.77,9D/VF1CZ4lF6i7EZFp1qqhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"16,880,000",1,Biz,2,4房2廳2衛
商,,汐止區大同路二段１８４巷０００１號１９樓之１#汐止區大同路二段１８４巷１號１９樓之１,住宅大樓(11層含以上有電梯),登峰天廈社區,43.86%,F,JiIxz1gtneHKqF9IeWGhcBvQss5zmvokDklTVTp7Ke8=,,113/07/09,有,63.68%,十九層/二十二層,,26,1094,2,1,1,25.06384205842678,121.65320182402276,有,,總價/總面積,陽台外推;,"464,817",N,bt_05.png,住家用,1,96,,43.03,JiIxz1gtneHKqF9IeWGhcBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"20,000,000",1,Biz,2,2房2廳1衛
住,,汐止區樟樹一路１４５巷００１６號１１樓#汐止區樟樹一路１４５巷１６號１１樓,住宅大樓(11層含以上有電梯),紅綠二期,79.80%,F,j1LubadvCCa01rmXbi8PlxvQss5zmvokDklTVTp7Ke8=,,113/07/01,有,,十一層/十七層,,29,1095,2,1,0,25.06822509012967,121.64182632792006,有,,總價/總面積,陽台外推;,"526,476",N,bt_05.png,住家用,1,61,,20.89,j1LubadvCCa01rmXbi8PlxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,000,000",1,Biz,2,2房2廳1衛
住,,汐止區湖前街０７７巷００５弄０００９號１２樓之８#汐止區湖前街７７巷５弄９號１２樓之８,住宅大樓(11層含以上有電梯),濱湖B區,57.71%,F,aIbn/vXPNuCGVaSHar7kHhvQss5zmvokDklTVTp7Ke8=,,113/07/14,有,,十二層/十三層,,30,1096,1,1,0,25.070228099614607,121.63157771970478,有,,總價/總面積,陽台外推;其他增建;,"578,780",N,bt_05.png,住家用,1,51,,21.39,aIbn/vXPNuCGVaSHar7kHhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,380,000",1,Biz,2,2房2廳1衛
住,,汐止區康寧街０６１巷００６１號３樓#汐止區康寧街６１巷６１號３樓,華廈(10層含以下有電梯),翠亨村,88.06%,F,ECeUFdCe2LXP7WX4k2KAJBvQss5zmvokDklTVTp7Ke8=,,113/07/26,有,,三層/六層,,32,1097,1,1,0,25.067929592332767,121.62000859769756,有,,總價/總面積,,"532,304",N,bt_06.png,住家用,1,46,,40.73,ECeUFdCe2LXP7WX4k2KAJBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"21,680,000",1,Biz,2,3房2廳2衛
住,,汐止區水源路二段０２２巷００１６之２號３樓#汐止區水源路二段２２巷１６之２號３樓,住宅大樓(11層含以上有電梯),東方桂冠,80.73%,F,V5ncHWVXchK7d0LFWGJLUhvQss5zmvokDklTVTp7Ke8=,,113/07/17,有,,三層/十六層,,26,1098,2,1,0,25.056967165774577,121.65425559014062,有,,總價/總面積,陽台外推;,"433,217",N,bt_05.png,住家用,1,96,,30.01,V5ncHWVXchK7d0LFWGJLUhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,000,000",1,Biz,2,3房2廳1衛
住,,汐止區福德一路０１１８號八樓之４#汐止區福德一路１１８號八樓之４,住宅大樓(11層含以上有電梯),捷運喜來登一期,56.69%,F,kqqtulxJsrX21UxocPXCdhvQss5zmvokDklTVTp7Ke8=,,113/07/04,有,,八層/十二層,,17,1099,1,1,0,25.067865383179452,121.6373046138541,有,,總價/總面積,陽台外推;夾層;,"618,985",N,bt_05.png,住家用,1,44,,14.70,kqqtulxJsrX21UxocPXCdhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,100,000",1,Biz,2,2房1廳1衛
,丙種建築用地,汐止區東勢街２０１巷０２９９號#汐止區東勢街２０１巷２９９號,公寓(5樓含以下無電梯),研究苑,86.79%,F,ifScCw+69fhoZtjGqRNB8hvQss5zmvokDklTVTp7Ke8=,,113/07/05,無,,"一層,地下一層/二層",,29,1100,5,2,1,25.044577136876534,121.63429044830428,有,,總價/總面積,,"302,331",N,bt_01.png,住家用,1,74,,57.88,ifScCw+69fhoZtjGqRNB8hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"17,500,000",1,Biz,2,6房4廳3衛
住,,汐止區樟樹二路００５７號八樓#汐止區樟樹二路５７號八樓,住宅大樓(11層含以上有電梯),超級花園,37.01%,F,kTpBEM/Ywx8opEIVPAsDcBvQss5zmvokDklTVTp7Ke8=,,113/07/07,有,,八層/十五層,,8,1101,1,1,0,25.06273004629294,121.63904229519758,有,,總價/總面積,,"395,230",N,bt_05.png,住家用,1,91,,24.04,kTpBEM/Ywx8opEIVPAsDcBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,500,000",1,Biz,2,1房1衛
其他,,汐止區大同路二段０２３６號３樓之６#汐止區大同路二段２３６號３樓之６,住宅大樓(11層含以上有電梯),世貿名人,64.38%,F,lYUaVIlEcZNmzESsVS/EjRvQss5zmvokDklTVTp7Ke8=,,113/07/14,有,,三層/二十四層,,28,1102,2,1,0,25.065442717056992,121.65463759901061,有,,總價/總面積,,"528,783",N,bt_05.png,住家用,1,77,,11.35,lYUaVIlEcZNmzESsVS/EjRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"6,000,000",1,Biz,2,1房1衛
,丙種建築用地,汐止區汐萬路三段１９９巷０２８弄０００４號#汐止區汐萬路三段１９９巷２８弄４號,透天厝,,,F,,,113/07/31,無,,全/二層,,41,1103,1,1,0,25.098774619085578,121.63995320347108,無,,總價/總面積,本件不動產買賣(房地)係持分100/200買賣.,,N,bt_02.png,住家用,1,15,,23.55,x+wzv02UGdETzM4UVYbyQBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,800,000",1,Biz,2,4房2廳3衛
其他,,汐止區大同路二段０２３６號１４樓之６#汐止區大同路二段２３６號１４樓之６,住宅大樓(11層含以上有電梯),世貿名人,64.38%,F,GYezXEcCQQrLuuTVBzzT4xvQss5zmvokDklTVTp7Ke8=,,113/07/06,有,,十四層/二十四層,,28,1104,2,1,0,25.065442717056992,121.65463759901061,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"497,937",N,bt_05.png,住家用,1,77,,11.35,GYezXEcCQQrLuuTVBzzT4xvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"5,650,000",1,Biz,2,1房1廳1衛
住,,汐止區福德一路００１５號４樓#汐止區福德一路１５號４樓,住宅大樓(11層含以上有電梯),生活大國,64.55%,F,Kq30W09ZcCsTOKoyIQPiORvQss5zmvokDklTVTp7Ke8=,,113/07/29,有,,四層/十六層,,27,1105,2,1,0,25.069023496218016,121.63881723425115,有,,總價/總面積,陽台外推;,"465,055",N,bt_05.png,住家用,1,96,,33.33,Kq30W09ZcCsTOKoyIQPiORvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,500,000",1,Biz,2,3房2廳2衛
住,,汐止區福德三路０００１號七樓#汐止區福德三路１號七樓,住宅大樓(11層含以上有電梯),台北爵士,41.41%,F,JHdnhzWwnMTUtVBK1ghaAxvQss5zmvokDklTVTp7Ke8=,,113/07/13,有,49.02%,七層/十四層,,17,1106,1,1,1,25.069386478025326,121.63838298673761,有,,總價/總面積,陽台外推;,"485,712",N,bt_05.png,住家用,1,54,,40.76,JHdnhzWwnMTUtVBK1ghaAxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,800,000",1,Biz,2,3房2廳2衛
其他,,汐止區民族五街００１６號１２樓之２#汐止區民族五街１６號１２樓之２,住宅大樓(11層含以上有電梯),麗湖山莊,52.92%,F,GkY2qxwUXmQJ3SFu1oDmHRvQss5zmvokDklTVTp7Ke8=,170,113/07/01,有,63.94%,十二層/十七層,,25,1107,2,1,1,25.07167210058506,121.62956302723755,有,,(總價-車位總價)/(總面積-車位總面積),,"376,615",N,bt_05.png,住家用,1,87,,56.68,GkY2qxwUXmQJ3SFu1oDmHRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,370,000",1,Biz,2,3房2廳2衛
住,,汐止區樟樹二路１０６巷００１４號５樓#汐止區樟樹二路１０６巷１４號５樓,華廈(10層含以下有電梯),儷都臻邸,67.92%,F,eIFSusuC0BGoMMvt+bo0TBvQss5zmvokDklTVTp7Ke8=,,113/07/20,有,,五層/六層,,29,1108,1,1,0,25.064125116076642,121.64003078330154,有,,總價/總面積,陽台外推;其他增建;,"546,496",N,bt_06.png,住家用,1,40,,24.25,eIFSusuC0BGoMMvt+bo0TBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,250,000",1,Biz,2,3房2廳1衛
住,,汐止區新台五路二段２３８巷００６９號七樓#汐止區新台五路二段２３８巷６９號七樓,住宅大樓(11層含以上有電梯),星野之森-D區,45.16%,F,kOIEJimp3cRk7Nqf3RrHgRvQss5zmvokDklTVTp7Ke8=,200,113/07/23,有,57.48%,七層/十一層,,,1109,2,1,1,25.064360241124405,121.67262142966294,無,,(總價-車位總價)/(總面積-車位總面積),,"435,117",N,bt_05.png,住家用,1,79,,52.39,kOIEJimp3cRk7Nqf3RrHgRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,910,000",1,Biz,2,3房2廳2衛
住,,汐止區建成路１６０巷００４９號３樓#汐止區建成路１６０巷４９號３樓,住宅大樓(11層含以上有電梯),非常台北,65.92%,F,ar/WIjPuM+N9iuyIUezCzBvQss5zmvokDklTVTp7Ke8=,,113/07/09,有,,三層/十四層,,28,1110,1,1,0,25.073862684140494,121.66144260652729,有,,總價/總面積,陽台外推;其他增建;,"526,992",N,bt_05.png,住家用,1,78,,22.73,ar/WIjPuM+N9iuyIUezCzBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,980,000",1,Biz,2,2房2廳1衛
住,,汐止區新台五路二段００９３號１３樓#汐止區新台五路二段９３號１３樓,住宅大樓(11層含以上有電梯),,66.23%,F,,,113/07/15,有,,十三層/二十五層,,29,1111,1,1,0,25.067417778729194,121.66525379391146,有,,總價/總面積,陽台外推;,"549,646",N,bt_05.png,住家用,1,41,,24.02,1vIVPt9fkY9HTd0ejEHKcxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,200,000",1,Biz,2,2房2廳1衛
住,,汐止區福德一路０１９８號三樓之７#汐止區福德一路１９８號三樓之７,住宅大樓(11層含以上有電梯),福德ONE,44.55%,F,ADFeCkUC8l8o7R5Dc2AALBvQss5zmvokDklTVTp7Ke8=,220,113/07/18,有,61.50%,三層/十五層,,3,1112,1,1,1,25.06572740463147,121.63481561139065,有,,(總價-車位總價)/(總面積-車位總面積),,"652,605",N,bt_05.png,住家用,1,62,,24.54,ADFeCkUC8l8o7R5Dc2AALBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"13,800,000",1,Biz,2,2房1廳1衛
商,,汐止區中興路１５０巷００２１號８樓#汐止區中興路１５０巷２１號８樓,住宅大樓(11層含以上有電梯),我的家,87.83%,F,BlBgeY8S02dB9tOqJPOLNhvQss5zmvokDklTVTp7Ke8=,,113/07/24,有,,八層/十二層,,30,1113,1,1,0,25.065337294934874,121.63314842986598,有,,總價/總面積,,"490,668",N,bt_05.png,住家用,1,42,,29.71,BlBgeY8S02dB9tOqJPOLNhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"14,580,000",1,Biz,2,2房2廳2衛
住,,汐止區大同路二段０２７３號１８樓之２#汐止區大同路二段２７３號１８樓之２,住宅大樓(11層含以上有電梯),宏國大鎮,80.11%,F,SuOSPE9/ge3tuFCIW53bZBvQss5zmvokDklTVTp7Ke8=,,113/07/16,有,,十八層/二十四層,,29,1114,1,1,0,25.066973979687194,121.65337702197942,有,,總價/總面積,,"556,261",N,bt_05.png,住家用,1,93,,23.91,SuOSPE9/ge3tuFCIW53bZBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,300,000",1,Biz,2,2房2廳1衛
住,,汐止區汐碇路０１６之００１巷０００８號九樓#汐止區汐碇路１６之１巷８號九樓,住宅大樓(11層含以上有電梯),東別館,51.12%,F,h2B/kB2lXdMHdGIf0QKzLRvQss5zmvokDklTVTp7Ke8=,180,113/07/07,有,,九層/十一層,,13,1115,1,1,1,25.05792484820352,121.65204058595958,有,,總價/總面積,,"452,096",N,bt_05.png,住家用,1,63,,43.80,h2B/kB2lXdMHdGIf0QKzLRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,800,000",1,Biz,2,3房2廳2衛
,乙種建築用地,汐止區鄉長路二段０００２號６樓#汐止區鄉長路二段２號６樓,華廈(10層含以下有電梯),天池,71.60%,F,54KmSd7TO15h3Ykqez+yHRvQss5zmvokDklTVTp7Ke8=,,113/07/24,有,,六層/七層,,30,1116,1,1,0,25.081014273682186,121.66916357148384,有,,總價/總面積,,"362,403",N,bt_06.png,住家用,1,63,,30.35,54KmSd7TO15h3Ykqez+yHRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,000,000",1,Biz,2,4房1廳2衛
住,,汐止區民族一街０００７號３樓之１#汐止區民族一街７號３樓之１,華廈(10層含以下有電梯),,66.89%,F,,,113/07/10,有,,三層/六層,,27,1117,1,1,0,25.070810909846152,121.63463365826934,有,,總價/總面積,,"624,727",N,bt_06.png,住家用,1,16,,13.29,HCusRf/TN+TKdAO1+wzoSBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"8,300,000",1,Biz,2,
住,,汐止區忠孝東路０４２４號６樓#汐止區忠孝東路４２４號６樓,住宅大樓(11層含以上有電梯),摩登家庭,57.08%,F,Gd57QjU0GGxU2yZ82f1ZghvQss5zmvokDklTVTp7Ke8=,,113/07/16,有,82.56%,六層/十七層,,28,1118,1,1,1,25.071818302931575,121.66638773302293,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"280,509",N,bt_05.png,住家用,1,64,,18.89,Gd57QjU0GGxU2yZ82f1ZghvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"5,300,000",1,Biz,2,3房2廳2衛
住,,汐止區工建路００５６號４樓之２#汐止區工建路５６號４樓之２,華廈(10層含以下有電梯),愛快台北一期,60.93%,F,hRDvVD3vqT+8smJXQYHUZRvQss5zmvokDklTVTp7Ke8=,,113/07/10,有,,四層/八層,,25,1119,1,1,0,25.06326411662109,121.64080932297561,有,,總價/總面積,,"476,820",N,bt_06.png,住家用,1,40,,19.08,hRDvVD3vqT+8smJXQYHUZRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,100,000",1,Biz,2,2房2廳1衛
住,,汐止區樟樹一路１２０巷００１２號６樓#汐止區樟樹一路１２０巷１２號６樓,華廈(10層含以下有電梯),忠孝綠洲,60.77%,F,EHl8H0lih9XNsj0NqFOdpBvQss5zmvokDklTVTp7Ke8=,,113/07/27,有,,六層/六層,,33,1120,1,1,1,25.064682943610773,121.6425611576343,無,,總價/總面積,頂樓加蓋;,"358,350",N,bt_06.png,住家用,1,35,,39.07,EHl8H0lih9XNsj0NqFOdpBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"14,000,000",1,Biz,2,3房2廳3衛
住,,汐止區新台五路二段２３８巷００４５號十樓#汐止區新台五路二段２３８巷４５號十樓,住宅大樓(11層含以上有電梯),星野之森-D區,45.67%,F,Bgb48jfPJfnxUmW/AjJQkxvQss5zmvokDklTVTp7Ke8=,,113/07/20,有,59.98%,十層/十一層,,,1121,2,1,1,25.064360241124405,121.67262142966294,有,,總價/總面積,,"386,291",N,bt_05.png,住家用,1,79,,47.06,Bgb48jfPJfnxUmW/AjJQkxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"18,180,000",1,Biz,2,3房2廳2衛
商,,汐止區建成路０５７巷００９０號三樓#汐止區建成路５７巷９０號三樓,住宅大樓(11層含以上有電梯),Me時代/高巢家庭,68.77%,F,2Ci4HaJ3S+Bk9Bm0WFJ+LBvQss5zmvokDklTVTp7Ke8=,,113/07/08,有,,三層/十七層,,26,1122,2,1,0,25.072391432392205,121.6613752298433,有,,總價/總面積,夾層;,"560,374",N,bt_05.png,住家用,1,111,,23.73,2Ci4HaJ3S+Bk9Bm0WFJ+LBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,300,000",1,Biz,2,4房2廳2衛
住,,汐止區龍安路２０２巷００４６號５樓#汐止區龍安路２０２巷４６號５樓,公寓(5樓含以下無電梯),,88.98%,F,,,113/07/05,無,,五層/五層,,40,1123,2,1,0,25.06361895044624,121.65261585834324,無,,總價/總面積,頂樓增建其他增建;,"312,106",N,bt_01.png,住家用,1,29,,7.85,ZkH86gp5S8WnEABy0SyqyRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"2,450,000",1,Biz,2,3房2廳1衛
住,,汐止區龍安路２０２巷００４６號５樓#汐止區龍安路２０２巷４６號５樓,公寓(5樓含以下無電梯),,89.02%,F,,,113/07/08,無,,五層/五層,,40,1124,2,1,0,25.06361895044624,121.65261585834324,無,,總價/總面積,頂樓增建其他增建;,"364,337",N,bt_01.png,住家用,1,29,,3.14,NeNiKDhrL/IYq6OfsANhZhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"1,144,000",1,Biz,2,3房2廳1衛
住,,汐止區茄苳路００６６號２樓#汐止區茄苳路６６號２樓,華廈(10層含以下有電梯),,79.17%,F,,,113/07/21,有,,二層/七層,,33,1125,1,1,0,25.070544832713075,121.66650969924352,有,,總價/總面積,陽台外推;其他增建;,"370,982",N,bt_06.png,住家用,1,19,,34.50,QR4nEOAkgn/H0W7I+pgm8hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,800,000",1,Biz,2,3房2廳1衛
,丙種建築用地,汐止區瑞松街１５０巷００２０號６樓之１５#汐止區瑞松街１５０巷２０號６樓之１５,華廈(10層含以下有電梯),瑞士山莊,81.17%,F,3jrOoVJhIxmtL4n8Kpu1qBvQss5zmvokDklTVTp7Ke8=,,113/07/30,有,,六層/十層,,32,1126,1,1,0,25.10884983471852,121.64824519403729,有,,總價/總面積,其他增建;,"164,783",N,bt_06.png,住家用,1,89,,15.78,3jrOoVJhIxmtL4n8Kpu1qBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"2,600,000",1,Biz,2,
住,,汐止區樟樹一路１１９巷０１０弄００１９號２樓#汐止區樟樹一路１１９巷１０弄１９號２樓,公寓(5樓含以下無電梯),儷都花園,80.25%,F,g7LNudci4wFZkCJW0KPMABvQss5zmvokDklTVTp7Ke8=,,113/07/15,無,,二層/五層,,36,1127,1,1,0,25.064546043255753,121.64081599151872,無,,總價/總面積,,"354,810",N,bt_01.png,住家用,1,51,,39.74,g7LNudci4wFZkCJW0KPMABvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"14,100,000",1,Biz,2,3房2廳2衛
住,,汐止區龍安路２０２巷００４６號５樓#汐止區龍安路２０２巷４６號５樓,公寓(5樓含以下無電梯),,88.98%,F,,,113/07/08,無,,五層/五層,,40,1128,2,1,0,25.06361895044624,121.65261585834324,無,,總價/總面積,頂樓增建其他增建;,"298,509",N,bt_01.png,住家用,1,29,,14.13,wz2C+7mqdlTnjq413UaewxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,218,750",1,Biz,2,3房2廳1衛
,丙種建築用地,汐止區勤進路０８３巷０００３號２樓之１９#汐止區勤進路８３巷３號２樓之１９,華廈(10層含以下有電梯),世運村,87.82%,F,HYOwOh25nnG8z0Yp1mQonhvQss5zmvokDklTVTp7Ke8=,,113/07/18,有,,二層/七層,,42,1129,1,1,0,25.059016142833883,121.66248284860339,有,,總價/總面積,,"387,864",N,bt_06.png,住家用,1,71,,10.06,HYOwOh25nnG8z0Yp1mQonhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,900,000",1,Biz,2,
住,,汐止區明峰街０１４３號５樓#汐止區明峰街１４３號５樓,公寓(5樓含以下無電梯),,92.52%,F,,,113/07/18,無,,五層/五層,,44,1130,1,1,0,25.070398217705378,121.62978449413403,無,,總價/總面積,頂樓加蓋其他增建;,"360,479",N,bt_01.png,住家用,1,60,,31.07,R0NXS0YP6Td1B9dAGShivRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,200,000",1,Biz,2,3房2廳2衛
住,,汐止區福德一路１７６巷００２１號六樓#汐止區福德一路１７６巷２１號六樓,住宅大樓(11層含以上有電梯),采采良品,48.79%,F,09Ejc7FSg5l8/f/h44arbRvQss5zmvokDklTVTp7Ke8=,250,113/07/03,有,62.11%,六層/十四層,,2,1131,1,1,1,25.066989510318173,121.6352384144273,有,,(總價-車位總價)/(總面積-車位總面積),,"712,982",N,bt_05.png,住家用,1,45,,47.85,09Ejc7FSg5l8/f/h44arbRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"29,300,000",1,Biz,2,3房2廳2衛
其他,,汐止區康寧街７５１巷００２７號１Ｏ樓之１#汐止區康寧街７５１巷２７號１Ｏ樓之１,住宅大樓(11層含以上有電梯),日月光,82.13%,F,itP8DRsnbKUuZJHzutCGGhvQss5zmvokDklTVTp7Ke8=,,113/07/19,有,,十層/二十四層,,28,1132,2,1,0,25.07490595890003,121.63758886411597,有,,總價/總面積,陽台外推;,"437,878",N,bt_05.png,住家用,1,161,,27.63,itP8DRsnbKUuZJHzutCGGhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,100,000",1,Biz,2,2房2廳1衛
,丙種建築用地,汐止區瑞松街１９５巷０００６號#汐止區瑞松街１９５巷６號,透天厝,,,F,,,113/07/03,無,,全/二層,,42,1133,1,1,0,25.113270988410875,121.64467907020689,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,N,bt_02.png,住家用,1,15,,56.08,dwLR0KUJk0ItETzDyCmKTBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,880,000",1,Biz,2,4房2廳3衛
住,,汐止區明峰街２９８巷００５弄０００３號４樓#汐止區明峰街２９８巷５弄３號４樓,公寓(5樓含以下無電梯),,83.71%,F,,,113/07/11,無,,四層/五層,,38,1134,1,1,0,25.068577830761008,121.62473988849774,無,,總價/總面積,,"296,681",N,bt_01.png,住家用,1,56,,32.63,4fu9LvDWK7PnXu94gaNzThvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"9,680,000",1,Biz,2,3房2廳2衛
,乙種建築用地,汐止區汐萬路二段２７５巷００３弄００１３號四樓#汐止區汐萬路二段２７５巷３弄１３號四樓,公寓(5樓含以下無電梯),,82.97%,F,,,113/07/19,無,,四層/五層,,43,1135,2,1,0,25.08836763824274,121.64569851042268,無,,總價/總面積,,"168,879",N,bt_01.png,住家用,1,12,,26.05,Cs+tPWW9P5jPRUnFG4AhwRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,400,000",1,Biz,2,3房2廳1衛
住,,汐止區新台五路二段００７９號九樓#汐止區新台五路二段７９號九樓,住宅大樓(11層含以上有電梯),,68.08%,F,,,113/07/30,有,,九層/十五層,,11,1136,1,1,0,25.067007164315278,121.66421083418008,有,,總價/總面積,其他增建;,"505,987",N,bt_05.png,住家用,1,33,,47.43,i1Bzm4E/n2PPgfoQVihVqRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"24,000,000",1,Biz,2,4房2廳2衛
住,,汐止區建成路０２３巷００１８號四樓#汐止區建成路２３巷１８號四樓,公寓(5樓含以下無電梯),,83.14%,F,,,113/07/22,無,,四層/五層,,39,1137,6,1,0,25.07240850511503,121.66361549354706,無,,總價/總面積,,"375,197",N,bt_01.png,住家用,1,46,,19.72,mebOtFZb43bs8HWBJjYqRhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,400,000",1,Biz,2,2房1廳1衛
住,,汐止區新興路０１４９號十二樓#汐止區新興路１４９號十二樓,住宅大樓(11層含以上有電梯),合康雲極,45.48%,F,BAMQXOZIAOxnqqIPdgDCMBvQss5zmvokDklTVTp7Ke8=,240,113/07/28,有,59.41%,十二層/二十一層,,6,1138,1,1,1,25.061226813306998,121.65868877011408,有,,(總價-車位總價)/(總面積-車位總面積),,"648,324",N,bt_05.png,住家用,1,100,,39.09,BAMQXOZIAOxnqqIPdgDCMBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"21,800,000",1,Biz,2,2房2廳1衛
商,,汐止區新台五路一段０１６１號９樓之２#汐止區新台五路一段１６１號９樓之２,住宅大樓(11層含以上有電梯),觀天下,51.61%,F,QQODXItjM3xrLaD4A2BADxvQss5zmvokDklTVTp7Ke8=,,113/07/03,有,66.72%,九層/二十七層,,26,1139,1,1,1,25.062781684172023,121.6541377941985,有,,總價/總面積,,"394,221",N,bt_05.png,住家用,1,38,,61.64,QQODXItjM3xrLaD4A2BADxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"24,300,000",1,Biz,2,4房2廳2衛
,丙種建築用地,汐止區瑞松街１５０巷００２０號５樓之６#汐止區瑞松街１５０巷２０號５樓之６,華廈(10層含以下有電梯),瑞士山莊,74.50%,F,ptj3jnqkO/n0NLb86YISQhvQss5zmvokDklTVTp7Ke8=,,113/07/02,有,,五層/十層,,32,1140,1,1,0,25.10884983471852,121.64824519403729,有,,總價/總面積,,"211,762",N,bt_06.png,住家用,1,89,,17.24,ptj3jnqkO/n0NLb86YISQhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,650,000",1,Biz,2,1房1廳1衛
